Speices,Bait,Exact time,Date,Weather,Size,Weight (pounds),Time of day,Number of Fish Caught,Fishing Trip Number,Fish Number
Bass,Swimbait,12:06:00 PM,March 26,Sunny,Small,0.4,Afternoon,1,Trip No. 01,1
Bass,Jig,12:22:00 PM,March 26,Sunny,Medium,0.8,Afternoon,1,Trip No. 01,2
Bass,swimbat,12:40:00 PM,March 26,Sunny,Medium,0.8,Afternoon,1,Trip No. 01,3
Bass,Swimbait,12:46:00 PM,March 26,Sunny,Medium,1,Afternoon,1,Trip No. 01,4
Bass,Swimbait,1:15:00 PM,March 26,Sunny,Large,1.5,Afternoon,1,Trip No. 01,5
Bass,Swimbait,1:30:00 PM,March 26,Sunny,Small,0.55,Afternoon,1,Trip No. 01,6
Bass,Swimbait,1:45:00 PM,March 26,Sunny,Small,0.6,Afternoon,1,Trip No. 01,7
Bass,Jig,5:10:00 PM,March 26,Sunny,Medium,0.9,Evening,1,Trip No. 01,8
Bass,Swimbait,5:16:00 PM,March 26,Sunny,Medium,0.8,Evening,1,Trip No. 01,9
Bass,Swimbait,2:57:00 PM,March 30,Sunny,Medium,1,Afternoon,1,Trip No. 02,10
Bass,Swimbait,2:59:00 PM,March 30,Sunny,Medium,0.8,Afternoon,1,Trip No. 02,11
Bass,Swimbait,3:04:00 PM,March 30,Sunny,Medium,0.7,Afternoon,1,Trip No. 02,12
Bass,Swimbait,3:23:00 PM,March 30,Sunny,Small,0.5,Afternoon,1,Trip No. 02,13
Bass,Swimbait,2:48:00 PM,March 31,Cloudy,Medium,0.7,Afternoon,1,Trip No. 03,14
Bluegill,Jig,3:46:00 PM,March 31,Cloudy,Small,0.3,Afternoon,1,Trip No. 03,15
Bluegill,Jig,5:47:00 PM,April 4,Sunny,Small,0.2,Evening,1,Trip No. 04,16
Bass,Swimbait,11:10:00 AM,April 5,Sunny,Small,0.6,Morning,1,Trip No. 05,17
Bass,Swimbait,11:14:00 AM,April 13,Sunny,Medium,1,Morning,1,Trip No. 06,18
Bluegill,Jig,12:15:00 PM,April 14,Rainy,Small,0.3,Afternoon,1,Trip No. 07,19
Bass,Swimbait,12:42:00 PM,April 14,Rainy,Medium,0.7,Afternoon,1,Trip No. 07,20
Bass,Swimbait,12:57:00 PM,April 14,Rainy,Medium,0.7,Afternoon,1,Trip No. 07,21
Bluegill,Swimbait,1:31:00 PM,April 14,Rainy,Small,0.15,Afternoon,1,Trip No. 07,22
Bass,Swimbait,1:36:00 PM,April 14,Rainy,Large,1.6,Afternoon,1,Trip No. 07,23
Bass,Swimbait,10:05:00 AM,April 18,Sunny,Large,1.5,Morning,1,Trip No. 08,24
Bass,Swimbait,10:06:00 AM,April 18,Sunny,Large,1.3,Morning,1,Trip No. 08,25
Bass,Swimbait,1:14:00 PM,April 18,Sunny,Medium,0.7,Afternoon,1,Trip No. 08,26
Bass,Swimbait,1:26:00 PM,April 18,Sunny,Small,0.6,Afternoon,1,Trip No. 08,27
Bass,Swimbait,1:11:00 PM,April 19,Sunny,Medium,1,Afternoon,1,Trip No. 09,28
Bluegill,Jig,2:04:00 PM,April 19,Sunny,Small,0.15,Afternoon,1,Trip No. 09,29
Bluegill,Jig,2:06:00 PM,April 19,Sunny,Small,0.3,Afternoon,1,Trip No. 09,30
Bass,Swimbait,2:27:00 PM,April 19,Sunny,Large,1.7,Afternoon,1,Trip No. 09,31
Bass,Swimbait,3:07:00 PM,April 19,Sunny,Medium,0.75,Afternoon,1,Trip No. 09,32
Bass,Swimbait,3:36:00 PM,April 19,Sunny,Medium,1.1,Afternoon,1,Trip No. 09,33
Bass,Swimbait,3:36:00 PM,April 19,Sunny,Small,0.6,Afternoon,1,Trip No. 09,34
Bass,Swimbait,2:16:00 PM,April 21,Sunny,Medium,0.8,Afternoon,1,Trip No. 10,35
Bass,Swimbait,2:23:00 PM,April 21,Sunny,Medium,0.7,Afternoon,1,Trip No. 10,36
Bass,Swimbait,2:27:00 PM,April 21,Sunny,Medium,0.8,Afternoon,1,Trip No. 10,37
Bass,Swimbait,2:30:00 PM,April 21,Sunny,Small,0.4,Afternoon,1,Trip No. 10,38
Bass,Swimbait,2:31:00 PM,April 21,Sunny,Small,0.6,Afternoon,1,Trip No. 10,39
Bluegill,Swimbait,4:23:00 PM,April 21,Sunny,Small,0.25,Afternoon,1,Trip No. 10,40
Bluegill,Swimbait,4:24:00 PM,April 21,Sunny,Small,0.2,Afternoon,1,Trip No. 10,41
Bass,Swimbait,4:14:00 PM,April 22,Rainy,Small,0.5,Afternoon,1,Trip No. 11,42
Bass,Swimbait,4:35:00 PM,April 22,Rainy,Small,0.55,Afternoon,1,Trip No. 11,43
Bluegill,Jig,2:21:00 PM,April 24,Sunny,Small,0.15,Afternoon,1,Trip No. 12,44
Bass,Swimbait,2:54:00 PM,April 24,Sunny,Medium,1.1,Afternoon,1,Trip No. 12,45
Bass,Swimbait,12:29:00 PM,April 25,Sunny,Medium,0.9,Afternoon,1,Trip No. 13,46
Bass,Swimbait,12:47:00 PM,April 25,Sunny,Medium,1,Afternoon,1,Trip No. 13,47
Bass,Swimbait,12:50:00 PM,April 25,Sunny,Medium,1,Afternoon,1,Trip No. 13,48
Bass,Swimbait,1:13:00 PM,April 25,Sunny,Medium,0.9,Afternoon,1,Trip No. 13,49
Bass,Swimbait,11:37:00 AM,April 27,Sunny,Medium,0.8,Morning,1,Trip No. 14,50
Bass,Swimbait,11:54:00 AM,April 27,Sunny,Medium,0.8,Morning,1,Trip No. 14,51
Bass,Swimbait,12:03:00 PM,April 27,Sunny,Medium,1,Afternoon,1,Trip No. 14,52
Bass,Swimbait,4:45:00 PM,April 28,Sunny,Medium,0.9,Afternoon,1,Trip No. 15,53
Bass,Swimbait,12:59:00 PM,May 2,Sunny,Large,1.2,Afternoon,1,Trip No. 16,54
Bluegill,Jig,1:02:00 PM,May 8,Sunny,Small,0.15,Afternoon,1,Trip No. 17,55
Bass,Swimbait,1:38:00 PM,May 8,Sunny,Medium,0.9,Afternoon,1,Trip No. 17,56
Bluegill,Jig,4:47:00 PM,May 8,Sunny,Small,0.3,Afternoon,1,Trip No. 17,57
Bass,Swimbait,5:03:00 PM,May 8,Sunny,Medium,0.75,Evening,1,Trip No. 17,58
Bass,Swimbait,5:04:00 PM,May 8,Sunny,Small,0.6,Evening,1,Trip No. 17,59